CustomerID,Gender,Age,Region,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,JoinDate,LastActivityDate,Feedback
CUST1046,Male,55,North,59,95214.7,3,0,1,118156.01,0,15-01-2020,Aug 5 2023,Bad
CUST1047,Male,43,South,53,26264.4,1,0,1,85407.47,1,15-02-2021,10-06-2023,Bad
CUST1048,Male,25,East,9,80962.99,4,0,0,123821.34,0,15-01-2020,Aug 5 2023,Average
CUST1049,Male,71,south ,8,12087.21,3,1,Active,115953.71,0,15-01-2020,Aug 5 2023,Good
CUST1050,Female,68,East,40,2298.24,2,No,1,87220.76,0,15-01-2020,10-07-2023,Good
CUST1051,Female,29,North,6,48676.57,2,1,1,87220.76,0,15-01-2020,10-06-2023,Good
CUST1052,F,30,south ,51,48676.57,1,Yes,Active,137580.43,1,15-02-2021,Aug 5 2023, poor
CUST1053,Female,50,West,23,12724.47,2,1,Active,35029.29,0,15-01-2020,Aug 5 2023,Average
CUST1054,F,31,South,59,38172.15,3,1,Active,55531.73,0,15-02-2021,Aug 5 2023,Average
CUST1055,F,64,NORTH,18,12111.62,1,1,Inactive,127017.62,No,15-01-2020,10-06-2023,Bad
CUST1056,Female,37,North,56,44223.52,1,1,0,51865.42,No,15-01-2020,Aug 5 2023,Average
CUST1057,Male,40,south ,27,80577.35,2,0,0,92892.12,No,15-01-2020,Aug 5 2023, poor
CUST1058,M,45,North,56,47388.48,1,Yes,Inactive,49918.47,No,15-01-2020,10-06-2023,excellent 
CUST1059,Female,76,NORTH,29,57218.63,2,No,Active,103787.22,0,15-01-2020,Aug 5 2023,Average
CUST1060,M,22,North,58,44508.28,4,No,Inactive,128000.24,0,15-01-2020,Aug 5 2023,Average
CUST1061,Female,76,NORTH,17,48676.57,3,1,0,67513.04,No,15-01-2020,Aug 5 2023,Bad
CUST1062,Male,32,South,8,17625.25,2,1,1,63454.41,No,15-02-2021,10-06-2023,Good
CUST1063,F,25,South,26,48676.57,4,1,0,86079.47,0,15-01-2020,Aug 5 2023, poor
CUST1064,M,36,NORTH,26,40458.64,4,No,Active,126795.08,0,15-01-2020,10-07-2023, poor
CUST1065,M,45,West,17,99230.93,2,0,Active,72927.78,No,15-01-2020,10-06-2023,Good
CUST1066,Male,33,south ,36,66339.67,2,1,0,53163.81,0,15-02-2021,Aug 5 2023,Bad
CUST1067,Male,51,South,5,48676.57,4,1,0,45034.79,0,15-01-2020,10-07-2023,excellent 
CUST1068,Male,60,North,46,64276.69,2,1,Inactive,77841.81,0,15-01-2020,10-06-2023, poor
CUST1069,M,74,south ,44,56025.2,4,1,Active,91382.96,0,15-02-2021,Aug 5 2023,Average
CUST1070,F,18,East,46,85757.58,4,No,0,147397.52,0,15-01-2020,10-07-2023,Good
CUST1071,Male,73,NORTH,20,48676.57,3,0,Active,87051.33,0,15-01-2020,10-07-2023, poor
CUST1072,Male,59,East,29,67194.96,2,1,1,78313.16,No,15-01-2020,10-07-2023, poor
CUST1073,F,20,North,50,72676.22,4,1,Inactive,130211.18,0,15-01-2020,10-06-2023,Good
CUST1074,Female,21,North,26,30599.41,4,Yes,Active,114470.63,0,15-02-2021,Aug 5 2023,excellent 
CUST1075,F,33,East,39,39419.21,3,1,Inactive,119522.74,0,15-01-2020,Aug 5 2023,Bad
CUST1076,M,28,NORTH,33,45962.94,2,1,0,121755.72,1,15-02-2021,Aug 5 2023, poor
CUST1077,M,49,south ,15,4197.9,4,0,Active,50418.29,No,15-02-2021,10-06-2023,Average
CUST1078,Female,60,North,44,41828.35,2,1,0,77980.15,0,March 3 2022,Aug 5 2023,Good
CUST1079,Male,74,North,24,62867,1,1,0,47055.5,0,15-01-2020,10-07-2023, poor
CUST1080,F,44,south ,45,49162.55,2,1,Inactive,39410.08,1,15-02-2021,Aug 5 2023,Good
CUST1081,Male,22,NORTH,28,48676.57,2,Yes,0,87220.76,0,15-01-2020,10-07-2023,Good
CUST1082,M,49,South,51,38400.08,3,1,1,35906.52,0,15-01-2020,10-06-2023, poor
CUST1083,Male,45,south ,15,48676.57,4,Yes,0,110932.39,0,March 3 2022,Aug 5 2023,Average
CUST1084,F,57,NORTH,56,19406.76,2,1,Inactive,28957.8,0,15-01-2020,10-06-2023,Average
CUST1085,Male,42,East,21,47500.37,2,Yes,0,23335.71,No,March 3 2022,10-06-2023, poor
CUST1086,Male,47,south ,2,48834.59,4,No,Inactive,72708.51,0,15-02-2021,Aug 5 2023,Good
CUST1087,M,26,NORTH,51,85125.37,2,1,0,110933.24,0,15-01-2020,Aug 5 2023,Good
CUST1000,Male,46,West,46,48676.57,2,No,Active,149506.19,0,15-01-2020,Aug 5 2023, poor
CUST1089,F,65,South,39,73244.18,4,Yes,0,88758.09,0,15-01-2020,10-07-2023,excellent 
CUST1090,Male,58,South,31,3382.92,4,1,0,87220.76,0,15-02-2021,Aug 5 2023,Good
CUST1091,M,53,South,12,44813.34,2,0,Inactive,132806.63,1,15-01-2020,Aug 5 2023,Average
CUST1092,F,31,south ,6,13809.33,3,Yes,0,89098.68,0,15-01-2020,10-06-2023,Good
CUST1093,Male,78,NORTH,8,16686.63,4,0,0,38415.55,No,15-02-2021,10-06-2023,excellent 
CUST1094,M,43,West,12,78973.85,1,0,1,144016.06,No,March 3 2022,10-07-2023,Bad
CUST1095,M,41,south ,6,19521.17,3,1,0,93379.86,No,15-01-2020,10-06-2023,Good
CUST1096,Male,39,South,10,48676.57,4,1,Inactive,87220.76,0,15-02-2021,Aug 5 2023,Good
CUST1097,Female,72,south ,3,50556.12,4,1,Active,44899.74,0,15-01-2020,Aug 5 2023,excellent 
CUST1098,Female,44,south ,22,53200.71,4,1,Active,132408.15,No,15-01-2020,10-07-2023,Bad
CUST1099,F,48,West,10,35456.32,2,0,0,141019.62,1,15-01-2020,10-06-2023,excellent 
CUST1100,Male,45,East,14,39934.88,1,Yes,Active,141656.54,0,15-01-2020,10-06-2023,Bad
CUST1101,Male,60,West,3,47412.14,1,No,1,65494.02,0,15-02-2021,Aug 5 2023, poor
CUST1102,Male,56,south ,58,85908.21,1,0,0,110045.53,1,March 3 2022,Aug 5 2023, poor
CUST1103,Male,22,South,13,9767.83,2,Yes,1,118512.37,0,March 3 2022,Aug 5 2023,excellent 
CUST1104,Female,66,South,4,40542.36,2,No,Inactive,118370.06,0,March 3 2022,10-07-2023,Average
CUST1105,Male,53,North,51,44045.88,3,1,1,77977.37,1,March 3 2022,10-07-2023, poor
CUST1106,Female,79,NORTH,16,48676.57,4,No,Active,120800.16,1,15-02-2021,Aug 5 2023, poor
CUST1107,F,37,South,35,2287.23,1,1,0,24136.07,0,March 3 2022,10-07-2023, poor
CUST1108,Male,49,East,25,56113.39,3,1,1,32908.01,0,March 3 2022,Aug 5 2023,Good
CUST1109,Male,71,East,48,12087.05,3,No,Inactive,135170.41,1,March 3 2022,10-07-2023,Average
CUST1110,F,52,North,43,68491.18,1,Yes,Inactive,102113.91,0,15-02-2021,Aug 5 2023,Good
CUST1111,F,46,North,49,48676.57,4,Yes,1,124427.13,0,15-02-2021,Aug 5 2023,Bad
CUST1112,F,49,NORTH,36,96749.69,4,1,0,117394.82,No,March 3 2022,Aug 5 2023,excellent 
CUST1113,Female,71,North,56,48676.57,4,0,Inactive,87220.76,No,15-01-2020,Aug 5 2023,Bad
CUST1114,M,54,East,57,53621.08,1,1,0,87139.35,Yes,15-02-2021,Aug 5 2023,Bad
CUST1115,Male,49,south ,5,48676.57,4,Yes,Inactive,30846.67,0,15-01-2020,10-07-2023, poor
CUST1116,F,30,South,28,48676.57,4,1,0,58881.95,0,15-02-2021,10-06-2023,excellent 
CUST1117,Male,22,South,7,22316.63,3,1,1,64856.83,0,15-02-2021,Aug 5 2023,Average
CUST1118,Male,33,south ,59,25635.3,4,Yes,1,67183.29,1,March 3 2022,10-06-2023,Average
CUST1119,Male,66,south ,50,36253.81,2,1,Inactive,62064.88,0,15-02-2021,10-07-2023,Good
CUST1120,Female,71,South,29,20458.83,4,1,1,87220.76,No,15-01-2020,10-06-2023, poor
CUST1121,M,45,south ,59,47136.14,2,No,0,92113.28,0,15-01-2020,10-06-2023,Average
CUST1122,M,51,South,21,4306.38,2,Yes,1,85515.18,0,15-01-2020,10-07-2023, poor
CUST1123,Male,72,south ,41,1714.37,1,No,1,137062.62,No,March 3 2022,10-06-2023, poor
CUST1124,F,55,NORTH,12,43647.7,2,Yes,0,116626.14,0,15-01-2020,10-07-2023,Good
CUST1125,Female,53,West,17,42749.2,4,1,1,86147.31,No,15-02-2021,Aug 5 2023,Good
CUST1126,M,53,South,22,90272.04,3,0,Inactive,80823.79,0,March 3 2022,10-06-2023,excellent 
CUST1127,Male,41,East,34,75564.12,4,No,0,107655.01,0,March 3 2022,Aug 5 2023,Bad
CUST1128,M,36,south ,28,47951.45,1,1,Active,117779.74,0,March 3 2022,10-06-2023,Good
CUST1129,F,62,south ,12,55735.5,3,1,1,131125.33,0,15-02-2021,Aug 5 2023,Average
CUST1130,Male,73,East,50,57153.08,4,Yes,Active,127635,0,March 3 2022,10-07-2023,Bad
CUST1131,Female,18,NORTH,16,4094.72,4,1,1,34130.52,No,15-02-2021,10-07-2023, poor
CUST1132,Male,49,south ,46,96584.09,2,Yes,1,96360.57,0,March 3 2022,Aug 5 2023,Good
CUST1133,F,29,south ,28,577.43,2,1,Inactive,66876.57,0,15-02-2021,10-06-2023, poor
CUST1134,Male,20,West,19,55108.81,1,Yes,1,100613.54,0,March 3 2022,Aug 5 2023,Average
CUST1135,Male,41,NORTH,58,21964.03,4,0,1,70056.11,0,15-01-2020,Aug 5 2023,Good
CUST1136,F,47,South,20,811.99,3,1,0,91938.91,0,15-01-2020,10-06-2023,Good
CUST1137,Male,42,West,28,48676.57,2,No,Inactive,69160.54,0,15-01-2020,Aug 5 2023, poor
CUST1138,M,42,south ,38,76981.12,2,1,Inactive,122485.23,No,15-01-2020,Aug 5 2023,Good
CUST1139,Male,52,south ,14,51996.48,4,1,Active,32483.47,0,15-01-2020,Aug 5 2023,Average
CUST1140,Female,50,East,44,73161.05,1,0,0,116018.34,0,15-02-2021,Aug 5 2023,Average
CUST1141,M,77,East,52,96987.89,4,Yes,0,45253.93,0,15-01-2020,10-07-2023,excellent 
CUST1142,F,64,North,44,70776.48,3,0,Active,101013.18,0,15-02-2021,Aug 5 2023,Bad
CUST1143,Male,27,South,8,53420.43,2,Yes,0,122016.95,0,15-02-2021,Aug 5 2023,Good
CUST1144,F,64,south ,53,80857.53,1,1,0,31822.85,0,15-01-2020,10-07-2023,Good
CUST1145,Male,60,North,24,48676.57,1,Yes,Inactive,99964.25,0,March 3 2022,Aug 5 2023,Good
CUST1146,F,49,East,53,92204.28,4,No,0,50495.8,No,March 3 2022,10-07-2023,Bad
CUST1147,Male,75,South,10,48676.57,1,No,0,129500.45,0,15-01-2020,Aug 5 2023,excellent 
CUST1148,Female,25,south ,14,28881.3,2,Yes,Active,29491.09,1,15-02-2021,10-06-2023,excellent 
CUST1149,Male,33,West,45,99651.48,4,No,Active,81610.58,0,March 3 2022,10-07-2023,excellent 
CUST1150,Male,76,East,1,76802.29,4,0,1,20127.04,0,15-01-2020,10-06-2023,Bad
CUST1151,Male,33,North,29,42127.54,1,0,1,126357.45,No,15-01-2020,10-06-2023,excellent 
CUST1152,Female,78,south ,14,76716.67,4,Yes,0,51223.25,No,15-01-2020,10-06-2023,Good
CUST1153,F,56,NORTH,3,6498.02,2,1,Inactive,87924.96,0,March 3 2022,10-07-2023,Average
CUST1154,Male,33,south ,20,60544.53,2,Yes,Active,99057.41,0,15-01-2020,Aug 5 2023,Average
CUST1155,Male,64,south ,11,96016.23,2,1,1,88243.14,0,15-01-2020,10-06-2023,excellent 
CUST1156,Female,37,south ,41,70531.02,2,1,Inactive,61552.25,0,15-01-2020,Aug 5 2023,Bad
CUST1157,Male,37,NORTH,28,10604.86,2,1,0,98649.4,0,15-02-2021,10-06-2023, poor
CUST1158,Male,72,North,41,52461.46,4,0,1,115833.64,No,15-02-2021,Aug 5 2023,Average
CUST1159,Male,30,south ,17,33999.17,3,Yes,Active,149487.56,No,15-01-2020,Aug 5 2023, poor
CUST1160,F,74,South,23,72035.15,3,1,Inactive,135888.56,No,15-01-2020,Aug 5 2023,Average
CUST1161,Female,56,South,1,67627.71,3,1,1,45420.7,0,March 3 2022,Aug 5 2023,Good
CUST1162,F,52,South,1,46223.58,4,Yes,Active,71504.29,No,15-01-2020,Aug 5 2023, poor
CUST1163,F,59,South,54,54433.51,2,No,0,131318.47,No,March 3 2022,Aug 5 2023,Good
CUST1164,M,29,North,25,61367.14,3,1,Active,37048.7,0,15-01-2020,Aug 5 2023,Bad
CUST1165,Male,33,South,41,84838.72,4,0,Active,87220.76,No,15-01-2020,10-06-2023,Average
CUST1166,M,21,North,16,19649.29,2,Yes,Inactive,87220.76,0,15-01-2020,10-06-2023, poor
CUST1167,Male,30,North,17,46627.27,3,Yes,Inactive,127261.27,0,15-01-2020,10-07-2023,excellent 
CUST1168,Male,59,East,47,44513.84,2,0,Inactive,115172.75,No,15-01-2020,10-07-2023,Good
CUST1169,Male,72,East,30,7554.11,2,0,Active,110424.26,0,March 3 2022,Aug 5 2023,excellent 
CUST1170,Female,23,south ,1,76419.84,1,No,Inactive,128360.2,No,March 3 2022,Aug 5 2023,Good
CUST1171,F,27,NORTH,4,95647.53,2,No,Inactive,87220.76,0,15-02-2021,10-07-2023, poor
CUST1172,Male,35,North,11,48676.57,4,No,0,90307.73,0,March 3 2022,Aug 5 2023,excellent 
CUST1173,Female,22,South,18,37146.21,1,Yes,0,63330.96,1,15-02-2021,Aug 5 2023,Good
CUST1174,F,41,South,34,62139.33,4,1,0,137468.37,0,15-01-2020,10-07-2023,excellent 
CUST1175,F,19,south ,10,80635.72,1,No,1,91649.71,No,15-02-2021,10-06-2023,Good
CUST1176,Female,57,south ,54,56205.41,2,0,Active,147953.36,No,March 3 2022,Aug 5 2023,Bad
CUST1177,F,46,south ,15,93282.38,1,0,Inactive,50956.19,No,March 3 2022,Aug 5 2023,Good
CUST1178,M,31,East,48,60215.17,1,No,1,58422.94,No,15-01-2020,10-07-2023, poor
CUST1179,M,27,south ,22,47797.81,2,0,Active,147544.57,0,15-01-2020,Aug 5 2023,Good
CUST1180,Male,45,South,48,48676.57,2,0,0,115729.03,0,March 3 2022,10-06-2023,Good
CUST1181,M,57,south ,26,48135.39,2,1,Active,127395.39,0,15-02-2021,10-07-2023,Good
CUST1182,Male,26,West,36,22367.87,2,0,0,39690.33,No,15-01-2020,Aug 5 2023,Good
CUST1183,Male,60,south ,9,59690.86,2,0,0,124168.13,No,15-02-2021,10-06-2023,Bad
CUST1184,Male,67,South,18,2403.07,2,1,Inactive,48993.11,0,15-01-2020,Aug 5 2023, poor
CUST1185,Male,41,south ,49,74381.81,3,No,0,76523.45,1,15-02-2021,Aug 5 2023, poor
CUST1186,F,78,South,11,40872.26,1,No,Active,75326.47,0,15-01-2020,Aug 5 2023,Bad
CUST1187,F,74,south ,33,48676.57,2,1,Inactive,79058.34,0,15-01-2020,10-06-2023, poor
CUST1188,M,48,East,27,49793.1,4,0,0,67228.05,0,15-02-2021,Aug 5 2023,Average
CUST1189,F,76,East,33,91925.62,2,1,Inactive,37939.17,No,15-01-2020,Aug 5 2023,Average
CUST1190,Female,19,West,44,36708.58,4,1,0,61914.89,0,March 3 2022,Aug 5 2023,Average
CUST1191,F,34,East,39,2923.63,2,Yes,0,115511.16,0,March 3 2022,Aug 5 2023,Average
CUST1192,Male,65,South,35,23560.97,2,1,0,114243.39,0,15-02-2021,10-06-2023,Good
CUST1193,Male,25,South,2,24851.45,3,No,1,82449.88,0,15-01-2020,10-06-2023,Good
CUST1194,Female,47,North,46,17099.85,1,Yes,Active,47660.06,0,15-01-2020,10-07-2023,Good
CUST1195,Male,29,south ,4,95371.16,2,1,Active,27473.19,0,March 3 2022,10-07-2023,Good
CUST1196,M,44,East,21,48676.57,4,Yes,Inactive,43003.31,No,15-01-2020,Aug 5 2023,Bad
CUST1197,Male,45,East,25,85584.63,1,Yes,Active,91196.44,1,March 3 2022,10-07-2023,Average
CUST1198,F,38,south ,52,57999.57,3,Yes,Inactive,87220.76,No,March 3 2022,Aug 5 2023,Good
CUST1199,Female,72,South,8,69417.91,2,0,Active,148756.89,Yes,15-01-2020,10-06-2023,excellent 
CUST1200,Male,44,NORTH,38,48676.57,3,1,1,26661.91,0,15-02-2021,10-07-2023, poor
CUST1201,Male,39,South,15,76502.15,3,1,0,87220.76,No,15-02-2021,10-06-2023,Good
CUST1202,F,59,East,20,98385.99,2,1,1,63635.47,No,15-01-2020,Aug 5 2023,Bad
CUST1203,Male,42,NORTH,7,41538.6,3,1,1,47653.74,0,15-01-2020,Aug 5 2023,Good
CUST1204,F,47,south ,40,56162.56,2,0,0,64823.13,0,15-01-2020,10-06-2023,Average
CUST1205,M,58,North,59,71310.04,4,0,Active,105937.99,0,15-02-2021,Aug 5 2023,Good
CUST1206,M,59,NORTH,14,21677.62,3,1,Inactive,100520.6,0,March 3 2022,Aug 5 2023, poor
CUST1207,F,74,East,46,73410.98,3,Yes,0,95743,0,March 3 2022,Aug 5 2023,Good
CUST1208,M,68,North,20,31731.28,3,Yes,0,62627.72,No,15-01-2020,10-06-2023, poor
CUST1209,F,38,South,55,92904.45,3,No,1,100511.08,0,15-02-2021,Aug 5 2023,Bad
CUST1210,Male,55,West,34,48676.57,4,1,Inactive,68874.61,0,15-01-2020,Aug 5 2023,Good
CUST1211,Male,51,NORTH,44,99908.59,3,Yes,0,94652.32,No,15-01-2020,10-06-2023, poor
CUST1212,Male,34,NORTH,23,48676.57,4,No,Inactive,95431.11,0,15-02-2021,Aug 5 2023,Average
CUST1213,Male,74,NORTH,27,90775.15,2,1,Inactive,56050.22,0,15-01-2020,Aug 5 2023,excellent 
CUST1214,Male,55,South,27,36638.77,2,1,1,87220.76,No,15-01-2020,10-07-2023,excellent 
CUST1000,Male,34,South,45,48676.57,3,1,1,33120.33,No,15-02-2021,10-07-2023,Average
CUST1216,Male,41,East,23,85438.61,2,1,1,87220.76,0,15-01-2020,10-07-2023,Bad
CUST1217,F,20,West,5,30033.2,2,1,0,110109.34,1,15-02-2021,Aug 5 2023,excellent 
CUST1218,F,76,East,30,65891.59,2,1,Active,51426.94,No,March 3 2022,Aug 5 2023, poor
CUST1219,M,54,South,27,20899.37,2,1,Active,57331.39,0,15-01-2020,Aug 5 2023,Good
CUST1220,M,58,South,37,67849.82,2,No,Active,21329.24,No,March 3 2022,10-07-2023,Good
CUST1221,F,35,East,37,48676.57,2,1,0,135173.68,0,March 3 2022,10-06-2023, poor
CUST1222,Female,48,south ,49,48676.57,1,Yes,0,132753.05,0,15-01-2020,10-07-2023,Good
CUST1223,Male,18,East,41,73088.5,2,1,1,72931.92,0,15-02-2021,Aug 5 2023,Good
CUST1224,Male,66,East,29,68149.68,4,1,0,74446.85,No,March 3 2022,10-06-2023,Good
CUST1225,Male,60,south ,31,93104.08,2,0,Active,105418.65,Yes,March 3 2022,10-06-2023,Good
CUST1226,F,20,south ,58,92935.96,4,Yes,1,146106.41,No,15-01-2020,Aug 5 2023, poor
CUST1227,Male,76,NORTH,7,47645.95,2,Yes,1,140497.47,0,15-01-2020,Aug 5 2023,Average
CUST1228,M,53,North,51,574.26,2,1,Active,87220.76,0,15-02-2021,Aug 5 2023,excellent 
CUST1229,F,47,South,14,71766.19,2,No,0,87220.76,0,15-01-2020,10-06-2023,Good
CUST1230,Male,51,East,25,9489.45,2,1,0,126958.11,No,15-02-2021,10-06-2023, poor
CUST1231,M,58,North,14,849.78,4,1,0,36790.38,0,15-02-2021,10-06-2023,Bad
CUST1232,Female,32,south ,21,17026.73,2,Yes,1,58302.75,0,15-01-2020,10-06-2023,Good
CUST1233,Male,67,NORTH,6,72312.34,2,1,1,87220.76,0,15-02-2021,Aug 5 2023,Average
CUST1234,Male,31,South,45,73669,2,1,0,23878.87,No,15-01-2020,10-06-2023,Bad
CUST1235,Male,36,south ,21,48676.57,2,Yes,0,68483.95,0,15-01-2020,Aug 5 2023,Good
CUST1236,F,36,South,18,54713.24,2,1,Inactive,145251.66,No,15-01-2020,Aug 5 2023,Bad
CUST1237,M,35,South,31,25903.9,2,Yes,Inactive,119756.58,0,15-01-2020,Aug 5 2023, poor
CUST1238,F,58,East,41,99011.41,4,0,Inactive,49642.35,No,15-01-2020,10-07-2023,Good
CUST1239,Male,67,East,40,92050.63,1,Yes,0,102447.76,No,15-01-2020,Aug 5 2023, poor
CUST1000,Male,70,South,37,11456.44,2,Yes,Active,20769.95,0,March 3 2022,10-07-2023,Bad
CUST1241,M,44,South,5,4000.72,1,1,Inactive,69009.37,0,15-01-2020,10-07-2023,Average
CUST1242,Female,63,South,24,48676.57,4,1,Active,42965.92,0,15-02-2021,10-07-2023,Good
CUST1243,M,35,south ,57,21174.23,3,1,1,127315.48,No,15-01-2020,Aug 5 2023,Bad
CUST1244,Male,32,south ,37,20588.12,1,0,0,87220.76,0,March 3 2022,Aug 5 2023, poor
CUST1245,M,40,south ,8,32491.46,2,0,0,40788.7,No,15-01-2020,Aug 5 2023,Bad
CUST1246,F,18,East,41,90736.81,3,1,Active,89046.53,No,March 3 2022,Aug 5 2023,Average
CUST1247,M,22,West,13,13487.52,2,1,0,36752.27,0,15-01-2020,Aug 5 2023,excellent 
CUST1248,Male,77,NORTH,30,44326.01,2,1,Inactive,83580.79,No,15-02-2021,Aug 5 2023,Good
CUST1249,Female,60,West,58,97878.62,1,Yes,Active,61989.97,0,15-01-2020,10-07-2023, poor
CUST1250,Male,32,NORTH,5,88043.63,4,1,1,135898.15,No,15-01-2020,Aug 5 2023,Good
CUST1000,Female,57,North,10,4678.07,3,1,Inactive,64313.06,No,15-01-2020,10-06-2023,Average
CUST1252,M,53,West,29,17546.43,2,1,Active,87220.76,No,March 3 2022,10-07-2023,excellent 
CUST1253,Male,46,south ,36,98491.04,3,0,0,74669.89,0,March 3 2022,Aug 5 2023,Good
CUST1254,Female,28,South,39,3204.85,3,1,0,113118.54,No,March 3 2022,Aug 5 2023,Good
CUST1255,Male,43,South,27,15211.44,2,1,0,140978.05,No,March 3 2022,Aug 5 2023,Average
CUST1256,F,21,East,8,48676.57,1,1,0,122452.9,0,March 3 2022,10-06-2023,Average
CUST1257,Male,48,South,2,47688.75,2,0,0,78905.12,0,15-01-2020,Aug 5 2023,Average
CUST1258,M,60,South,57,65808.85,4,0,0,87220.76,No,March 3 2022,Aug 5 2023,Bad
CUST1259,Female,50,East,54,23739.7,4,1,0,112420.76,No,15-01-2020,Aug 5 2023,Bad
CUST1260,Female,20,south ,2,55618.53,1,1,0,45085.62,0,15-01-2020,10-07-2023,excellent 
